50-year and 100-year average accumulation rates,,,,
,,,,
Age (years before 1950 on WD2014),Advection-correction accumulation rate (ice eq.),,Age (years before 1950 on WD2014),Advection-correction accumulation rate (ice eq.)
0,0.211503041,,0,0.212373161
50,0.221076083,,100,0.216189121
100,0.211070791,,200,0.216628691
150,0.218414966,,300,0.225467412
200,0.215307176,,400,0.229345581
250,0.2135021,,500,0.232662056
300,0.23151837,,600,0.232117966
350,0.229879385,,700,0.238231703
400,0.23316014,,800,0.238299335
450,0.228178141,,900,0.250603351
500,0.22414727,,1000,0.252643053
550,0.236225728,,1100,0.24978993
600,0.230524483,,1200,0.258268532
650,0.232827042,,1300,0.255962584
700,0.23816634,,1400,0.255716402
750,0.242341564,,1500,0.254013082
800,0.244091602,,1600,0.251788745
850,0.234847532,,1700,0.243835196
900,0.254470805,,1800,0.248213511
950,0.250195325,,1900,0.253641876
1000,0.259870288,,2000,0.257223523
1050,0.255098412,,2100,0.249990227
1100,0.246577279,,2200,0.267674284
1150,0.245396418,,2300,0.268985142
1200,0.256748397,,2400,0.261775554
1250,0.262123647,,2500,0.260869629
1300,0.257015879,,2600,0.263045632
1350,0.251153995,,2700,0.255622343
1400,0.259107827,,2800,0.247911358
1450,0.255355161,,2900,0.246796162
1500,0.252726328,,3000,0.248797183
1550,0.25568727,,3100,0.249475858
1600,0.251782716,,3200,0.248899465
1650,0.238870974,,3300,0.260784784
1700,0.24452734,,3400,0.252367422
1750,0.2519141,,3500,0.258378288
1800,0.24689306,,3600,0.263826506
1850,0.259384493,,3700,0.257128585
1900,0.256314722,,3800,0.261092421
1950,0.241838867,,3900,0.255325042
2000,0.262671456,,4000,0.256813402
2050,0.250310899,,4100,0.248033941
2100,0.25412809,,4200,0.257506416
2150,0.254310686,,4300,0.248254456
2200,0.274901705,,4400,0.253604026
2250,0.272814607,,4500,0.23728068
2300,0.258104851,,4600,0.244773033
2350,0.265273289,,4700,0.244667728
2400,0.26341768,,4800,0.235164581
2450,0.257567805,,4900,0.244742945
2500,0.262065284,,5000,0.248290943
2550,0.263473825,,5100,0.242929338
2600,0.26547888,,5200,0.246986004
2650,0.260881655,,5300,0.244558632
2700,0.256373737,,5400,0.242820205
2750,0.248260934,,5500,0.237724839
2800,0.247077271,,5600,0.241688464
2850,0.250019179,,5700,0.232655242
2900,0.246204082,,5800,0.22504473
2950,0.247066906,,5900,0.218904317
3000,0.25116854,,6000,0.220880781
3050,0.244522118,,6100,0.217850124
3100,0.244040325,,6200,0.223330079
3150,0.253355815,,6300,0.220077477
3200,0.252435513,,6400,0.220898672
3250,0.257601305,,6500,0.228595962
3300,0.266924147,,6600,0.223624724
3350,0.246507397,,6700,0.221678175
3400,0.256525421,,6800,0.219009989
3450,0.254818933,,6900,0.213475244
3500,0.252783119,,7000,0.221207794
3550,0.267244366,,7100,0.204518428
3600,0.260685362,,7200,0.198751565
3650,0.261710567,,7300,0.198019524
3700,0.254417562,,7400,0.190679487
3750,0.255045997,,7500,0.198102914
3800,0.264190678,,7600,0.196770501
3850,0.260379559,,7700,0.196366977
3900,0.264096857,,7800,0.192840642
3950,0.246055019,,7900,0.194063279
4000,0.257479212,,8000,0.196843651
4050,0.251550667,,8100,0.195722609
4100,0.25551628,,8200,0.19806989
4150,0.244532225,,8300,0.191839191
4200,0.261815947,,8400,0.187807867
4250,0.25708804,,8500,0.183143578
4300,0.246917379,,8600,0.189162494
4350,0.238253679,,8700,0.183989214
4400,0.255337035,,8800,0.185071665
4450,0.245644202,,8900,0.181610192
4500,0.237721473,,9000,0.177960585
4550,0.243688399,,9100,0.17628415
4600,0.248007678,,9200,0.169637993
4650,0.240727422,,9300,0.177858971
4700,0.245455894,,9400,0.174858679
4750,0.241107513,,9500,0.18542274
4800,0.238324469,,9600,0.180720319
4850,0.239107348,,9700,0.179380931
4900,0.243053009,,9800,0.178855984
4950,0.244463611,,9900,0.18073494
5000,0.242523549,,10000,0.173330754
5050,0.252014043,,10100,0.176903555
5100,0.247986053,,10200,0.178668628
5150,0.243133415,,10300,0.174689499
5200,0.243196537,,10400,0.182053698
